subgroup,fpir,fpir_lower_95,fpir_upper_95,fnir_rank1,fnir_rank1_lower_95,fnir_rank1_upper_95,fnir_rank5,fnir_rank5_lower_95,fnir_rank5_upper_95,tpir_rank1,tpir_rank1_lower_95,tpir_rank1_upper_95,tpir_rank5,tpir_rank5_lower_95,tpir_rank5_upper_95,mated_probe_coverage,mated_probe_coverage_lower_95,mated_probe_coverage_upper_95,non_mated_probe_coverage,non_mated_probe_coverage_lower_95,non_mated_probe_coverage_upper_95,scored_mated_probes,scored_non_mated_probes,intended_mated_probes,intended_non_mated_probes
asian_females,0.0,0.0,0.0,0.09599999999999997,0.022222222222222254,0.193709677419354,0.09599999999999997,0.022222222222222254,0.193709677419354,0.904,0.8062903225806451,0.9777777777777777,0.904,0.8062903225806451,0.9777777777777777,1.0,1.0,1.0,0.9946666666666667,0.9861074561403509,1.0,125,373,125,375
asian_males,0.0,0.0,0.0,0.03200000000000003,0.0071428571428571175,0.06428571428571428,0.03200000000000003,0.0071428571428571175,0.06428571428571428,0.968,0.9357142857142857,0.9928571428571429,0.968,0.9357142857142857,0.9928571428571429,1.0,1.0,1.0,0.9946666666666667,0.9866666666666667,1.0,125,373,125,375
black_females,0.0,0.0,0.0,0.02400000000000002,0.0,0.05217391304347829,0.02400000000000002,0.0,0.05217391304347829,0.976,0.9478260869565217,1.0,0.976,0.9478260869565217,1.0,1.0,1.0,1.0,0.9946666666666667,0.9866666666666667,1.0,125,373,125,375
black_males,0.0,0.0,0.0,0.06451612903225812,0.020404715940430248,0.11764705882352944,0.06451612903225812,0.020404715940430248,0.11764705882352944,0.9354838709677419,0.8823529411764706,0.9795952840595697,0.9354838709677419,0.8823529411764706,0.9795952840595697,0.992,0.9733333333333334,1.0,0.992,0.9826086956521739,1.0,124,372,125,375
indian_females,0.0,0.0,0.0,0.03200000000000003,0.0,0.07499999999999996,0.03200000000000003,0.0,0.07499999999999996,0.968,0.925,1.0,0.968,0.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125,375,125,375
indian_males,0.0,0.0,0.0,0.04800000000000004,0.016000000000000014,0.08181818181818179,0.040000000000000036,0.00952380952380949,0.07274242424242418,0.952,0.9181818181818182,0.984,0.96,0.9272575757575757,0.9904761904761905,1.0,1.0,1.0,0.9973333333333333,0.9909064785788925,1.0,125,374,125,375
white_females,0.0,0.0,0.0,0.016000000000000014,0.0,0.04003448275862054,0.016000000000000014,0.0,0.04003448275862054,0.984,0.9599655172413792,1.0,0.984,0.9599655172413792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125,375,125,375
white_males,0.0,0.0,0.0,0.016000000000000014,0.0,0.054545454545454564,0.016000000000000014,0.0,0.054545454545454564,0.984,0.9454545454545454,1.0,0.984,0.9454545454545454,1.0,1.0,1.0,1.0,0.992,0.9826086956521739,1.0,125,372,125,375
