subgroup,fpir,fpir_lower_95,fpir_upper_95,fnir_rank1,fnir_rank1_lower_95,fnir_rank1_upper_95,fnir_rank5,fnir_rank5_lower_95,fnir_rank5_upper_95,tpir_rank1,tpir_rank1_lower_95,tpir_rank1_upper_95,tpir_rank5,tpir_rank5_lower_95,tpir_rank5_upper_95,mated_probe_coverage,mated_probe_coverage_lower_95,mated_probe_coverage_upper_95,non_mated_probe_coverage,non_mated_probe_coverage_lower_95,non_mated_probe_coverage_upper_95,scored_mated_probes,scored_non_mated_probes,intended_mated_probes,intended_non_mated_probes
asian_females,0.025714285714285714,0.003011597287353005,0.057292039756446984,0.125,0.045869808810140716,0.2241717376605813,0.125,0.045869808810140716,0.2241717376605813,0.875,0.7758282623394185,0.9541301911898593,0.875,0.7758282623394185,0.9541301911898593,0.96,0.9181818181818182,0.9923076923076923,0.9333333333333333,0.8833333333333333,0.9719326542161857,120,350,125,375
asian_males,0.011267605633802818,0.0,0.026507624701705364,0.050420168067226934,0.01052088985349976,0.09565812983918996,0.050420168067226934,0.01052088985349976,0.09565812983918996,0.9495798319327731,0.90434187016081,0.9894791101465003,0.9495798319327731,0.90434187016081,0.9894791101465003,0.952,0.9153846153846154,0.9846153846153847,0.9466666666666667,0.9181818181818182,0.9722270114942528,119,355,125,375
black_females,0.002770083102493075,0.0,0.009202807384580586,0.050420168067226934,0.012341915085817579,0.09999999999999998,0.050420168067226934,0.012341915085817579,0.09999999999999998,0.9495798319327731,0.9,0.9876580849141824,0.9495798319327731,0.9,0.9876580849141824,0.952,0.9133260869565217,0.9846153846153847,0.9626666666666667,0.9420266479663394,0.982051282051282,119,361,125,375
black_males,0.0,0.0,0.0,0.04761904761904767,0.00892659608091021,0.09782608695652173,0.04761904761904767,0.00892659608091021,0.09782608695652173,0.9523809523809523,0.9021739130434783,0.9910734039190898,0.9523809523809523,0.9021739130434783,0.9910734039190898,0.84,0.7483811230585424,0.92,0.8986666666666666,0.864,0.9333333333333333,105,337,125,375
indian_females,0.010958904109589041,0.0,0.03681836312180664,0.07438016528925617,0.009009009009009028,0.155977263661747,0.07438016528925617,0.009009009009009028,0.155977263661747,0.9256198347107438,0.844022736338253,0.990990990990991,0.9256198347107438,0.844022736338253,0.990990990990991,0.968,0.9304347826086956,1.0,0.9733333333333334,0.9493301587301588,0.9933412698412698,121,365,125,375
indian_males,0.00546448087431694,0.0,0.01373649975454099,0.05882352941176472,0.023255813953488413,0.09678021184400577,0.050420168067226934,0.01754385964912286,0.08695652173913049,0.9411764705882353,0.9032197881559942,0.9767441860465116,0.9495798319327731,0.9130434782608695,0.9824561403508771,0.952,0.9153846153846154,0.9846153846153847,0.976,0.9604918981481482,0.9893368421052631,119,366,125,375
white_females,0.0,0.0,0.0,0.024793388429752095,0.0,0.05442486085343222,0.024793388429752095,0.0,0.05442486085343222,0.9752066115702479,0.9455751391465678,1.0,0.9752066115702479,0.9455751391465678,1.0,0.968,0.9363636363636364,0.9923076923076923,0.976,0.9573285714285714,0.992,121,366,125,375
white_males,0.0,0.0,0.0,0.025423728813559365,0.0,0.06820141065830715,0.025423728813559365,0.0,0.06820141065830715,0.9745762711864406,0.9317985893416928,1.0,0.9745762711864406,0.9317985893416928,1.0,0.944,0.8479904761904762,1.0,0.9573333333333334,0.9256333333333334,0.9859649122807017,118,359,125,375
