pipeline,detector,recognition_model,embedding_dimensions,threshold,fpir,tpir_rank1,tpir_rank5,fnir_rank1,fnir_rank5,false_reviews_per_1000_non_mated,end_to_end_duplicate_detection_rate,gallery_enrolment_coverage,mated_extraction_coverage,non_mated_extraction_coverage,embedding_latency_mean_ms,embedding_latency_p95_ms,complete_pipeline_latency_mean_ms,complete_pipeline_latency_p95_ms,top1_search_time_mean_ms,top1_search_time_p95_ms,detector_file_size_mb,recognition_file_size_mb,status
opencv-sface-2021dec-yunet-2023mar,OpenCV YuNet 2023mar,OpenCV SFace 2021dec,128,0.477117869159,0.005246589716684155,0.9256900212314225,0.9256900212314225,0.07430997876857748,0.07430997876857748,5.246589716684155,0.872,0.99,0.942,0.953,17.888014681994125,18.66662548854947,21.71718460191623,27.097479491203558,0.9075322548111632,1.048541977070272,0.22,36.9,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,InsightFace SCRFD (det_10g),InsightFace ArcFace buffalo_l (w600k_r50),512,0.393957955447,0.0013391362571141614,0.9679679679679679,0.9679679679679679,0.03203203203203209,0.03203203203203209,1.3391362571141614,0.967,1.0,0.999,0.9956666666666667,63.49070448116072,67.15063744049984,95.3280492649165,100.49682061071505,1.1676942605555163,1.5001974970800802,16.14,166.31,evaluated_non_commercial_academic_research
