experiment,protocol_file,total_pairs,scored_pairs,failure_rate,threshold,evaluation_protocol,mean_fold_accuracy,fold_accuracy_standard_error,accuracy,precision,recall,f1,false_match_rate,false_non_match_rate,roc_auc,equal_error_rate,embedding_time_mean_ms,embedding_time_median_ms,embedding_time_p95_ms,gallery_size,duplicate_probe_count,unknown_probe_count,duplicate_detection_rate,false_duplicate_review_rate,rank1_identification_rate,true_duplicate_miss_rate,gallery_search_time_mean_ms,gallery_search_time_p95_ms
lfw_development,pairsDevTest.txt,1000,896,0.104,0.3630116835391414,,,,0.9921875,1.0,0.9841628959276018,0.9920182440136829,0.0,0.01583710407239819,0.9966163015528136,0.013574660633484115,20.915905703353662,20.778417005203664,21.710241987602785,,,,,,,,,
lfw_final,pairs.txt,6000,5399,0.10016666666666667,,lfw_official_10_fold_cross_validation,0.992786793047195,0.0013802557610013088,0.9927764400814966,0.9966342557965595,0.9888682745825603,0.9927360774818402,0.0033284023668639054,0.011131725417439703,0.9975311776135952,0.007766272189349112,21.723887284157552,21.560208493610844,22.239108312351163,,,,,,,,,
cplfw,pairs_CPLFW.txt,6000,3515,0.4141666666666667,0.3630116835391414,,,,0.9024182076813656,0.9772575250836121,0.8254237288135593,0.8949464012251148,0.019484240687679084,0.17457627118644067,0.9521088501448853,0.09774011299435026,20.632332640717365,20.55091699003242,21.224804391385987,,,,,,,,,
duplicate_gallery,,,,,,,,,,,,,,,,,,,,986,1047,3080,0.9936305732484076,0.5255750085822176,0.9798301486199575,0.006369426751592355,4.377010545464433,4.510450002271682
